LOC,LOC_touched,NR,NFix,NAuth,LOC_added,MAX_LOC_added,Churn,MAX_Churn,AVG_Churn,AVG_Holiday,Buggy
35,37,2,0,2,36,35,35,35,17.5,0.0,NO
231,255,5,0,2,243,224,231,224,46.2,0.0,YES
92,1576,6,0,3,834,763,92,763,15.333333,0.0,NO
50,56,2,0,2,53,50,50,50,25.0,0.0,NO
29,31,2,0,2,30,29,29,29,14.5,0.0,NO
37,43,2,0,2,40,37,37,37,18.5,0.0,NO
180,210,4,0,2,195,168,180,168,45.0,0.0,NO
147,147,1,0,1,147,147,147,147,147.0,0.0,NO
98,100,2,0,2,99,98,98,98,49.0,0.0,NO
149,155,2,0,2,152,149,149,149,74.5,0.0,YES
45,45,1,0,1,45,45,45,45,45.0,0.0,NO
105,191,5,0,3,148,103,105,103,21.0,0.0,YES
227,331,3,0,2,279,226,227,226,75.666664,0.0,NO
98,106,2,0,2,102,98,98,98,49.0,0.0,NO
96,118,4,0,2,107,95,96,95,24.0,0.0,NO
60,62,2,0,2,61,60,60,60,30.0,0.0,NO
68,90,2,0,2,79,68,68,68,34.0,0.0,YES
74,82,2,0,2,78,74,74,74,37.0,0.0,NO
603,763,9,0,3,683,573,603,573,67.0,0.0,YES
62,62,1,0,1,62,62,62,62,62.0,0.0,NO
84,102,4,0,2,93,83,84,83,21.0,0.0,NO
157,171,3,0,3,164,151,157,151,52.333332,0.0,YES
35,35,1,0,1,35,35,35,35,35.0,0.0,YES
41,43,2,0,2,42,41,41,41,20.5,0.0,NO
177,185,3,0,2,181,176,177,176,59.0,0.0,YES
66,92,2,0,2,79,65,66,65,33.0,0.0,NO
84,182,3,0,2,133,83,84,83,28.0,0.0,NO
39,59,3,0,2,49,38,39,38,13.0,0.0,NO
53,53,1,0,1,53,53,53,53,53.0,0.0,NO
197,219,4,0,3,208,187,197,187,49.25,0.0,YES
72,72,1,0,1,72,72,72,72,72.0,0.0,NO
91,101,2,0,2,96,91,91,91,45.5,0.0,NO
169,295,9,0,3,232,140,169,140,18.777779,0.0,YES
22,22,1,0,1,22,22,22,22,22.0,0.0,NO
248,328,7,0,3,288,198,248,198,35.42857,0.0,YES
193,193,1,0,1,193,193,193,193,193.0,0.0,YES
50,50,1,0,1,50,50,50,50,50.0,0.0,NO
